Filename Group AtomID Type Fx_Truth Fy_Truth Fz_Truth Fx_Pred Fy_Pred Fz_Pred Testing_Bool
A15_7.json Displaced_A15 1 1 0.738379 0.48581 0.018519 0.7751703773257477 0.5917626157501218 0.054322733419631994 False
A15_7.json Displaced_A15 2 1 0.983004 0.695353 -0.423917 1.1034093299050447 0.6689945765668128 -0.37679493803708636 False
A15_7.json Displaced_A15 3 1 0.967488 0.116743 -0.589823 0.37748556312714876 0.04866149967422287 -0.9232711640293727 False
A15_7.json Displaced_A15 4 1 -0.084389 0.137046 -0.423367 0.2692702943328479 0.29375055755650736 -0.6188744947011058 False
A15_7.json Displaced_A15 5 1 -0.470328 1.296441 -0.423078 -0.8512085712992454 0.5445316596573498 -0.4000559430725233 False
A15_7.json Displaced_A15 6 1 -0.263493 -1.182047 0.521328 -0.4681639507473632 -0.1656601376625522 0.7959078459118452 False
A15_7.json Displaced_A15 7 1 0.332524 -0.382338 0.466834 0.3992220027309007 -0.531914679436533 0.43923315533468815 False
A15_7.json Displaced_A15 8 1 0.19652 -0.552756 -0.617059 0.3759460938157874 -0.9077836865141644 -0.2971800286703275 False
A15_7.json Displaced_A15 9 1 0.340753 0.932737 -1.082711 0.6290005774613481 1.2496058316006131 -0.9757020836495811 False
A15_7.json Displaced_A15 10 1 -0.352834 -0.034069 -0.546853 -0.725841186894993 -0.10170909514271363 -0.7620912878050692 False
A15_7.json Displaced_A15 11 1 0.209447 -0.170553 0.255905 -0.09921090128534546 -0.26543417408099146 0.6175822078886388 False
A15_7.json Displaced_A15 12 1 -1.248523 0.1324 -0.277314 -0.768500851971288 0.09227352399694512 -0.4225416689052488 False
A15_7.json Displaced_A15 13 1 -0.296298 1.327488 0.591352 -0.2755632723125458 0.955488588230937 0.8193806203363971 False
A15_7.json Displaced_A15 14 1 0.225842 -1.705193 -0.220596 0.3304379315462975 -0.9985889039296239 -0.20874742742788535 False
A15_7.json Displaced_A15 15 1 -0.602859 0.598417 0.360383 -0.6273461316975566 0.7633971921695529 -0.18011512683648856 False
A15_7.json Displaced_A15 16 1 -0.487819 0.018537 -0.681676 -0.6643138322155453 0.013734392531873165 -0.7554747721853419 False
A15_7.json Displaced_A15 17 1 -0.850702 -0.481463 -0.618219 -0.942034639718909 -0.7261361266626791 -0.5160389344541731 False
A15_7.json Displaced_A15 18 1 -0.375888 0.3131 0.609637 -0.555042438806779 0.323527023507584 0.788743463963917 False
A15_7.json Displaced_A15 19 1 -1.425719 -0.081346 0.714056 -0.8690759949828786 -0.07668019093207415 0.9694239201105834 False
A15_7.json Displaced_A15 20 1 -0.152265 -0.539619 0.318009 -0.05768596227870407 -0.6176897362643993 0.2625188515616551 False
A15_7.json Displaced_A15 21 1 -0.178473 1.482119 0.427439 -0.3461427321246267 0.7465223061772674 0.5970599456723229 False
A15_7.json Displaced_A15 22 1 0.269104 -1.208309 -0.327712 0.13823586551030848 -0.49444228887747876 -0.17194855432962058 False
A15_7.json Displaced_A15 23 1 0.850349 -0.517951 0.275559 1.1607673250782682 -0.5551881585570602 -0.00913030566753133 False
A15_7.json Displaced_A15 24 1 -0.588363 0.226576 -0.96233 -0.776537001276974 0.5214054525119765 -0.6311733543990511 False
A15_7.json Displaced_A15 25 1 0.629328 0.101208 1.170955 0.8248950241232055 0.19108899978447907 1.2585410331448734 False
A15_7.json Displaced_A15 26 1 0.175608 -0.725726 0.018084 0.047910689021553626 -0.8703436175898193 -0.01795552650635377 False
A15_7.json Displaced_A15 27 1 -0.672848 -0.376194 0.690747 -0.21807012542117 -0.41184926924269083 0.8852532669194376 False
A15_7.json Displaced_A15 28 1 1.314233 0.49323 0.453261 0.7851211241542535 0.6456011628030824 0.7075137713395686 False
A15_7.json Displaced_A15 29 1 -0.403463 -0.248525 0.230807 -0.6790640751125134 0.15573083023704348 0.42083968331191735 False
A15_7.json Displaced_A15 30 1 -0.081478 0.863863 -0.071733 -0.02609305559156423 0.31538519632372175 -0.40208495521374743 False
A15_7.json Displaced_A15 31 1 -0.387653 0.744336 -0.69563 -0.4883774624001154 1.076879441563584 -0.20943218831985771 False
A15_7.json Displaced_A15 32 1 0.204661 1.016501 1.272453 0.6517417363648808 1.1866985569557869 0.7200774234851023 False
A15_7.json Displaced_A15 33 1 0.210489 -0.369673 0.610136 0.2816929860213103 -0.4753088324099425 0.8452269269582171 False
A15_7.json Displaced_A15 34 1 -0.618631 -0.801014 1.16881 -0.7608042771532992 -0.9725658228385641 1.4247602558659138 False
A15_7.json Displaced_A15 35 1 1.247918 -0.045758 -0.325354 0.8438846748543365 0.10350081483615817 -0.527072534034529 False
A15_7.json Displaced_A15 36 1 0.342738 -0.215167 -0.069832 0.1852676013788598 -0.3417297698887217 0.07080965381943763 False
A15_7.json Displaced_A15 37 1 0.441032 0.314676 -0.03073 0.48071167839808093 -0.09074852293310913 0.12006616013011043 False
A15_7.json Displaced_A15 38 1 0.215784 0.14419 0.976532 0.1550783451694052 0.3498072432518651 1.1050703357593412 False
A15_7.json Displaced_A15 39 1 -0.277749 -0.258368 -0.418189 -0.4817343662891711 -0.402726673801902 -0.2610262943769129 False
A15_7.json Displaced_A15 40 1 0.132647 0.303744 -0.143621 0.4023644326209431 0.43905145456299177 -0.2599620769224099 False
A15_7.json Displaced_A15 41 1 0.293403 0.10204 -0.586267 0.46087007409959846 0.06697613820206375 -0.7310078837113076 False
A15_7.json Displaced_A15 42 1 -0.0766 0.318418 0.741565 -0.2439779361374608 0.5705913596346495 0.9052162549045024 False
A15_7.json Displaced_A15 43 1 -1.193866 -0.235149 -0.180348 -0.6285204501239223 -0.6680735413472634 -0.23134368151181675 False
A15_7.json Displaced_A15 44 1 0.286858 0.294859 0.204099 -0.1473868938052404 0.6453660332206347 0.2363882382125273 False
A15_7.json Displaced_A15 45 1 0.289819 0.925706 0.429944 0.4164667862487323 0.8990757364757418 0.6206672480635398 False
A15_7.json Displaced_A15 46 1 0.177769 -1.251772 0.201923 -0.1379017294079687 -1.0213390609029371 0.6893637526998315 False
A15_7.json Displaced_A15 47 1 0.011121 0.010154 -0.513286 0.21606130142524943 0.34153158662902783 -0.6390659577135664 False
A15_7.json Displaced_A15 48 1 -0.770371 0.244167 -0.539961 -0.85626267734373 0.7111260355911713 -0.4773938311692245 False
A15_7.json Displaced_A15 49 1 -0.122463 0.783939 0.309844 -0.08238720497762185 1.1291202683829211 0.365675326162792 False
A15_7.json Displaced_A15 50 1 -0.833015 -1.143659 -1.244648 -1.008394308278567 -1.0903064041988961 -1.1522099241218897 False
A15_7.json Displaced_A15 51 1 0.318174 -0.327947 -0.137883 0.3560854031816402 -0.4693338394050659 -0.56328381039 False
A15_7.json Displaced_A15 52 1 -0.672169 -0.306686 0.158866 -0.23526535302797977 -0.5881391289987405 -0.08337444411795944 False
A15_7.json Displaced_A15 53 1 0.000928 -1.568952 -0.556323 -0.40097190449767284 -1.1008632969557728 -0.942033887273467 False
A15_7.json Displaced_A15 54 1 0.490919 0.513788 -0.187133 0.7644472934535707 -0.08679468169023058 -0.1723975675549281 False
A15_7.json Displaced_A15 55 1 0.107427 -0.010953 -0.135414 0.33085421578170826 -0.48230312008622106 -0.43797214410706425 False
A15_7.json Displaced_A15 56 1 0.0403 0.521312 0.035425 0.16012009182769354 0.35506569874721594 -0.34180952122466735 False
A15_7.json Displaced_A15 57 1 -0.196083 -0.020488 0.519869 -0.26052741914948907 -0.2445438070396158 0.5642584648756104 False
A15_7.json Displaced_A15 58 1 -0.52423 -0.25306 0.358801 -0.5594555299925669 -0.1777082203203625 0.28949990261185743 False
A15_7.json Displaced_A15 59 1 0.546995 -0.296434 -0.355434 0.6230516154772929 -0.5209717507027256 -0.6554539206740254 False
A15_7.json Displaced_A15 60 1 0.753656 -0.424927 -0.364529 0.7196962436838059 -0.9058207886492768 -0.5066978147123118 False
A15_7.json Displaced_A15 61 1 0.382562 -1.149823 -0.614214 0.3425614153919879 -0.7213160969220562 -0.7452016929005512 False
A15_7.json Displaced_A15 62 1 0.395589 1.452637 -0.053896 0.3229042406832773 0.8436913696135091 -0.02517495798345848 False
A15_7.json Displaced_A15 63 1 0.295654 0.152651 -0.023568 0.6200820955632762 0.4346961593448732 -0.06793687438704965 False
A15_7.json Displaced_A15 64 1 -0.210447 -0.178269 0.331507 -0.30895219343555536 -0.19062588210810005 0.12563113063324421 False
A15_6.json Displaced_A15 1 1 -0.437757 -0.090743 0.15803 -0.5818365936504322 -0.06235613952524145 0.31049425640722594 False
A15_6.json Displaced_A15 2 1 0.449605 -0.435267 -0.828991 0.4967781565703313 -0.7326997956381722 -0.9918587974117066 False
A15_6.json Displaced_A15 3 1 -2.072616 -0.051825 0.877711 -0.64547554658519 0.30339788905026516 1.1454684080489925 False
A15_6.json Displaced_A15 4 1 2.144694 -0.090086 0.075882 1.059962346580762 -0.2857798982493943 -0.400264235047655 False
A15_6.json Displaced_A15 5 1 -0.607352 0.532786 0.378598 -0.7821496442481977 0.3325868770570056 0.7712909656671791 False
A15_6.json Displaced_A15 6 1 -0.777264 -1.885963 -0.048956 -0.9305827747785795 -0.8704476347982438 -0.09000928420310497 False
A15_6.json Displaced_A15 7 1 0.39704 0.642203 -1.068312 0.6015776048057618 0.7684233649581885 -0.673374721227472 False
A15_6.json Displaced_A15 8 1 0.064098 0.179003 -0.177005 -0.18718345178959184 0.24506876581739778 -0.6198133610109788 False
A15_6.json Displaced_A15 9 1 -0.033574 0.346172 0.680676 0.022972168836936972 0.46481967300261195 0.9493459208349788 False
A15_6.json Displaced_A15 10 1 0.82825 0.497825 -0.656618 0.9454412400608372 0.5597099094861857 -0.8664135448125272 False
A15_6.json Displaced_A15 11 1 -0.906833 -0.010611 0.365963 -0.014621480214286137 -0.0636831839088129 0.6693425312178585 False
A15_6.json Displaced_A15 12 1 1.376958 0.080901 -0.441221 0.6261959636311898 0.3966028600001641 -0.47506755406157986 False
A15_6.json Displaced_A15 13 1 -0.451121 -0.806818 -0.284864 -0.46619898357391193 -0.5914977762405025 -0.687964500597249 False
A15_6.json Displaced_A15 14 1 -0.579497 -0.053233 -0.287661 -0.6727581313699822 -0.673530631483965 -0.433570185201752 False
A15_6.json Displaced_A15 15 1 -0.336212 0.217222 0.347111 -0.7832459811054239 0.40263512768538723 0.07281945154220168 False
A15_6.json Displaced_A15 16 1 0.289092 -0.611239 0.468926 0.356040827923947 -0.729373508761523 0.1405775684346366 False
A15_6.json Displaced_A15 17 1 -0.453067 0.31946 -0.683277 -0.7833948745002719 0.6153137232457406 -0.7427007482515879 False
A15_6.json Displaced_A15 18 1 -0.662165 -0.149468 -0.087742 -0.5762936216876398 -0.2337935308154306 -0.26025079247942645 False
A15_6.json Displaced_A15 19 1 0.533672 -0.070014 0.096584 0.23291096866978284 0.058847094685009094 0.0886214360649483 False
A15_6.json Displaced_A15 20 1 -0.020345 0.48243 -0.397113 0.3313220823914341 0.9163839733156307 -0.8503901723897769 False
A15_6.json Displaced_A15 21 1 -0.21413 1.634343 -0.170283 -0.3043040111516052 0.5182577348636391 -0.2372832728614029 False
A15_6.json Displaced_A15 22 1 0.039077 -0.10791 -0.719333 0.20756407149872458 0.21571101521998182 -0.8388638342638535 False
A15_6.json Displaced_A15 23 1 -0.29128 0.032642 2.069655 -0.6950642726177867 -0.10226641372557245 0.8495089733413055 False
A15_6.json Displaced_A15 24 1 0.124193 -0.201649 -0.71097 -0.11912360533791963 -0.6330634452815265 0.31620847220889725 False
A15_6.json Displaced_A15 25 1 -0.789865 0.878036 0.020208 -1.052974775790982 1.1122568728793454 0.15164942107679957 False
A15_6.json Displaced_A15 26 1 0.56874 -0.164877 -0.950145 0.5637016363624117 -0.3589825876004634 -0.8987463608193615 False
A15_6.json Displaced_A15 27 1 -0.076491 -0.288 -0.243411 0.01192317218608598 -0.7380320263980922 -0.7704382770890221 False
A15_6.json Displaced_A15 28 1 1.240837 0.47266 0.656808 0.8957019229226801 0.9464824997574348 0.7057077856771831 False
A15_6.json Displaced_A15 29 1 0.255233 0.272119 0.455833 0.17663822486847763 0.2271210585937703 0.6836324840661756 False
A15_6.json Displaced_A15 30 1 -0.289007 -0.346757 0.12366 -0.6825433061405783 -0.03325186660419914 0.2732913802800916 False
A15_6.json Displaced_A15 31 1 -0.685761 -0.244829 -0.502888 -0.9566741672209695 -0.6428590317029084 -0.05806669980838819 False
A15_6.json Displaced_A15 32 1 0.339459 -0.233213 1.335765 0.7710755853420757 -0.33499774584165354 0.6299223181170981 False
A15_6.json Displaced_A15 33 1 -0.013471 -0.867347 -0.774099 -0.154216896024167 -1.1303265465199557 -0.9841740054060255 False
A15_6.json Displaced_A15 34 1 0.734048 0.105961 -1.272735 0.9564232747433852 0.15196820559258936 -1.2831919595796646 False
A15_6.json Displaced_A15 35 1 1.370203 -0.182535 0.648941 1.1051685391751271 -0.10311459730955162 0.9277923387489754 False
A15_6.json Displaced_A15 36 1 -1.127055 -0.301221 0.303103 -0.4268768902060185 -0.33670196705477184 0.2829422924409771 False
A15_6.json Displaced_A15 37 1 0.229886 -1.204827 0.172016 0.6889536413017594 -0.7519316275428882 0.3733960349467185 False
A15_6.json Displaced_A15 38 1 -0.32778 1.003783 -0.614408 -0.32645289289558505 0.4007358588720594 -0.9884795243214728 False
A15_6.json Displaced_A15 39 1 0.764624 -0.183537 -0.038771 1.029575410321537 -0.2669245266787356 0.05580224065162057 False
A15_6.json Displaced_A15 40 1 0.625441 0.03111 0.856974 0.5111789699526721 0.009243133231860117 0.5975101925162747 False
A15_6.json Displaced_A15 41 1 0.561912 0.756882 -0.236387 0.664551985423806 1.058647207800274 -0.35329864706166964 False
A15_6.json Displaced_A15 42 1 -0.458387 0.66717 1.04408 -0.7171207261769399 0.6822439304798736 1.1331980216173059 False
A15_6.json Displaced_A15 43 1 0.070225 0.10084 -0.482484 0.3218766947611871 0.42705427616782676 -0.6797044023786609 False
A15_6.json Displaced_A15 44 1 -0.344876 -0.18676 -0.015312 0.05503603698070844 -0.49585796322759845 0.059242531381700665 False
A15_6.json Displaced_A15 45 1 -0.207209 0.12974 -0.023385 -0.5331088202514245 0.2361944829004886 0.04328042954775918 False
